ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update
CRM,Salesforce Inc.,2025-06-27 to 2025-07-25,179,0.21891465793108805,0.43930233271316815,0.24466016117264242,0.2172078066997314,0.33519553072625696,0.08379888268156424,2025-07-25 22:40:00
CVE,Cenovus Energy Inc.,2025-06-28 to 2025-07-27,5,0.21057089567184448,0.23391274674969423,0.0,0.21057089567184448,0.0,0.2,2025-07-27 06:35:00
FINV,FinVolution Group,2025-06-29 to 2025-07-25,9,0.19876100619633993,0.3141139027565593,0.28520057201385496,0.19876100619633993,0.1111111111111111,0.0,2025-07-25 15:43:15
DAR,DARLING INGREDIENTS INC.,2025-06-27 to 2025-07-25,22,0.19690397219224406,0.4048569358871392,-0.05632743388414384,0.179161947114127,0.13636363636363635,0.13636363636363635,2025-07-25 13:01:18
KOP,Koppers Holdings Inc.,2025-07-09 to 2025-07-25,6,0.1908579170703888,0.2956769766262574,0.0,0.1908579170703888,0.0,0.0,2025-07-25 13:55:00
JBS, JBS SA,2025-06-28 to 2025-07-10,4,0.18688152432441713,0.21584351447639907,,0.18688152432441713,0.25,0.0,2025-07-10 11:13:09
MPAA,Motorcar Parts of America Inc.,2025-06-29 to 2025-06-30,12,0.1858559956153234,0.3113546271584591,,0.1858559956153234,0.16666666666666666,0.0,2025-06-30 17:41:54
UBER,Uber Technologies Inc.,2025-07-09 to 2025-07-26,239,0.17418502205086553,0.4406098990231195,0.06851538519064586,0.17418502205086553,0.2510460251046025,0.11297071129707113,2025-07-26 12:16:18
COP,CONOCO PHILLIPS,2025-06-27 to 2025-07-25,87,0.16791593178935435,0.5344184968360005,0.14937457640965782,0.16986844262411427,0.26436781609195403,0.12643678160919541,2025-07-25 16:36:32
BWMX,Betterware de México S.A.P.I. de C.V.,2025-06-27 to 2025-07-25,11,0.16237473487854004,0.30074042167073073,0.11698902448018393,0.16237473487854004,0.18181818181818182,0.0,2025-07-25 13:35:27
HBM,Hudbay Minerals Inc.,2025-06-30 to 2025-07-23,34,0.16225862362805532,0.4511172056503828,0.27747471034526827,0.16225862362805532,0.17647058823529413,0.17647058823529413,2025-07-23 00:15:04
WDAY,Workday Inc.,2025-06-28 to 2025-07-26,58,0.16049864127718172,0.5392534611316407,0.3664926052093507,0.16049864127718172,0.22413793103448276,0.1724137931034483,2025-07-26 09:09:30
COUR,Coursera Inc.,2025-07-01 to 2025-07-25,24,0.1587437681853771,0.5330115374768505,0.21789703090985615,0.1587437681853771,0.25,0.16666666666666666,2025-07-25 18:33:34
AVGO,Broadcom Inc.,2025-07-08 to 2025-07-27,232,0.1584790599500311,0.47219558681135804,0.0969939527767045,0.1584790599500311,0.22844827586206898,0.1206896551724138,2025-07-27 06:15:06
AMZN,Amazon.com Inc.,2025-07-19 to 2025-07-27,242,0.15839119738291116,0.4844725569464329,0.1625366443216545,0.15839119738291116,0.29338842975206614,0.14049586776859505,2025-07-27 03:40:00
